X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpx10_speed,ogt10_accuracy,gpx10_course
-48.5433914,-27.5862878,0,0,0,50,2018/10/08 19:27:32+00,,,,,,,,,,,,,,,,,,,,,,2.09999990463257,26,336.200012207031
-48.5435523,-27.5857115,0,0,1,29,2018/10/08 19:28:01+00,,,,,,,,,,,,,,,,,,,,,,0.159999996423721,28,
-48.5438457,-27.5853772,0,0,2,39,2018/10/08 19:30:04+00,,,,,,,,,,,,,,,,,,,,,,2.08999991416931,34,0.699999988079071
-48.5442936234176,-27.5843316223472,0,0,3,15,2018/10/08 19:30:23+00,,,,,,,,,,,,,,,,,,,,,,0.170000001788139,30,
-48.5437813,-27.5852368,0,0,4,20,2018/10/08 19:31:02+00,,,,,,,,,,,,,,,,,,,,,,0.280000001192093,26,
-48.5439577,-27.5850305,0,0,5,20,2018/10/08 19:31:24+00,,,,,,,,,,,,,,,,,,,,,,0.239999994635582,24,
-48.5443181,-27.5819862,0,0,6,16,2018/10/08 19:32:01+00,,,,,,,,,,,,,,,,,,,,,,7.53999996185303,28,24.5
-48.5439494,-27.5797647,0,0,7,12,2018/10/08 19:32:49+00,,,,,,,,,,,,,,,,,,,,,,14.4899997711182,30,9.5
-48.5433022,-27.5770918,0,0,8,0,2018/10/08 19:33:25+00,,,,,,,,,,,,,,,,,,,,,,6.44000005722046,29,8.30000019073486
-48.5425718,-27.5760033,0,0,9,8,2018/10/08 19:33:42+00,,,,,,,,,,,,,,,,,,,,,,1.24000000953674,23,
-48.5419597,-27.575453,0,0,10,-8,2018/10/08 19:34:26+00,,,,,,,,,,,,,,,,,,,,,,10.6799993515015,24,42.9000015258789
-48.540205,-27.5742996,0,0,11,6,2018/10/08 19:34:43+00,,,,,,,,,,,,,,,,,,,,,,2.02999997138977,20,40.5999984741211
-48.5398945,-27.5742144,0,0,12,7,2018/10/08 19:35:02+00,,,,,,,,,,,,,,,,,,,,,,7.81999969482422,22,57.5
-48.5382473,-27.573321,0,0,13,17,2018/10/08 19:35:26+00,,,,,,,,,,,,,,,,,,,,,,0.379999995231628,24,
-48.5373284,-27.5728397,0,0,14,4,2018/10/08 19:35:47+00,,,,,,,,,,,,,,,,,,,,,,10.6899995803833,19,58.5999984741211
-48.5357433,-27.5733363,0,0,15,8,2018/10/08 19:36:04+00,,,,,,,,,,,,,,,,,,,,,,10.2199993133545,21,152
-48.5349805,-27.5740382,0,0,16,18,2018/10/08 19:36:26+00,,,,,,,,,,,,,,,,,,,,,,0.699999988079071,30,106.300003051758
